timestamp,generation,storage,temperature,soc,voltage
2025-09-24T06:00:00,0.0,3.0,28.5,60.0,241.7
2025-09-24T06:10:00,87.9,2.94,19.2,58.7,241.3
2025-09-24T06:20:00,115.6,2.89,28.5,57.7,236.7
2025-09-24T06:30:00,169.6,2.83,20.2,56.7,243.0
2025-09-24T06:40:00,265.5,2.81,36.4,56.1,241.3
2025-09-24T06:50:00,267.5,2.79,33.6,55.9,242.3
2025-09-24T07:00:00,301.8,2.78,37.2,55.6,244.2
2025-09-24T07:10:00,347.4,2.76,32.1,55.1,232.1
2025-09-24T07:20:00,350.5,2.74,27.5,54.7,241.9
2025-09-24T07:30:00,504.1,2.75,32.5,55.0,241.3
2025-09-24T07:40:00,410.9,2.77,37.5,55.3,235.2
2025-09-24T07:50:00,592.7,2.8,38.0,56.0,239.8
2025-09-24T08:00:00,527.7,2.83,34.7,56.5,241.9
2025-09-24T08:10:00,559.0,2.84,33.8,56.9,236.1
2025-09-24T08:20:00,680.4,2.9,31.6,57.9,244.9
2025-09-24T08:30:00,699.8,2.95,37.2,59.0,238.3
2025-09-24T08:40:00,741.2,3.02,28.3,60.5,241.4
2025-09-24T08:50:00,711.5,3.07,32.4,61.5,236.6
2025-09-24T09:00:00,786.9,3.14,38.3,62.8,239.5
2025-09-24T09:10:00,858.6,3.21,31.5,64.2,244.9
2025-09-24T09:20:00,721.5,3.26,37.3,65.2,242.8
2025-09-24T09:30:00,847.3,3.34,35.5,66.7,241.1
2025-09-24T09:40:00,759.3,3.39,32.5,67.9,239.2
2025-09-24T09:50:00,883.7,3.48,42.5,69.6,233.2
2025-09-24T10:00:00,837.8,3.55,45.2,71.1,237.8
2025-09-24T10:10:00,921.5,3.64,34.0,72.9,241.5
2025-09-24T10:20:00,960.1,3.72,39.9,74.5,234.8
2025-09-24T10:30:00,853.3,3.79,35.6,75.8,232.7
2025-09-24T10:40:00,1006.8,3.89,37.5,77.9,239.3
2025-09-24T10:50:00,913.8,3.97,46.1,79.3,242.7
2025-09-24T11:00:00,982.0,4.06,44.1,81.1,239.4
2025-09-24T11:10:00,1027.4,4.17,39.0,83.4,242.0
2025-09-24T11:20:00,1010.3,4.26,34.6,85.2,240.1
2025-09-24T11:30:00,905.7,4.34,39.4,86.9,236.4
2025-09-24T11:40:00,999.1,4.45,42.4,88.9,245.8
2025-09-24T11:50:00,1002.1,4.56,38.9,91.3,234.3
2025-09-24T12:00:00,983.3,4.65,59.2,93.1,239.7
2025-09-24T12:10:00,1026.9,4.74,57.6,94.9,241.6
2025-09-24T12:20:00,967.5,4.84,55.2,96.9,239.5
2025-09-24T12:30:00,921.0,4.93,76.6,98.7,236.9
2025-09-24T12:40:00,967.8,5.0,54.3,100.0,237.0
2025-09-24T12:50:00,958.9,5.0,44.7,100.0,235.3
2025-09-24T13:00:00,987.1,5.0,53.9,100.0,236.4
2025-09-24T13:10:00,892.6,5.0,58.6,100.0,239.6
2025-09-24T13:20:00,940.1,5.0,39.1,100.0,239.5
2025-09-24T13:30:00,921.5,5.0,76.3,100.0,243.9
2025-09-24T13:40:00,945.8,5.0,59.9,100.0,236.3
2025-09-24T13:50:00,861.9,5.0,62.0,100.0,244.1
2025-09-24T14:00:00,974.5,5.0,55.0,100.0,242.0
2025-09-24T14:10:00,897.1,5.0,53.9,100.0,237.9
2025-09-24T14:20:00,879.9,5.0,57.5,100.0,235.2
2025-09-24T14:30:00,809.7,5.0,54.9,100.0,247.1
2025-09-24T14:40:00,713.6,5.0,63.3,100.0,243.9
2025-09-24T14:50:00,753.5,5.0,45.0,100.0,236.3
2025-09-24T15:00:00,713.7,5.0,68.3,100.0,239.7
2025-09-24T15:10:00,694.2,5.0,37.5,100.0,241.6
2025-09-24T15:20:00,664.5,5.0,41.6,100.0,237.6
2025-09-24T15:30:00,636.4,5.0,39.4,100.0,240.0
2025-09-24T15:40:00,581.2,5.0,30.8,100.0,238.0
2025-09-24T15:50:00,541.9,5.0,41.4,100.0,241.3
2025-09-24T16:00:00,567.4,5.0,33.2,100.0,240.1
2025-09-24T16:10:00,524.0,5.0,35.1,100.0,245.1
2025-09-24T16:20:00,581.4,5.0,26.0,100.0,240.7
2025-09-24T16:30:00,442.4,5.0,26.3,100.0,242.4
2025-09-24T16:40:00,378.9,4.99,34.0,99.8,245.0
2025-09-24T16:50:00,292.8,4.98,26.7,99.6,235.8
2025-09-24T17:00:00,338.3,4.97,20.8,99.4,237.5
2025-09-24T17:10:00,296.8,4.96,29.3,99.1,242.6
2025-09-24T17:20:00,248.2,4.94,21.7,98.7,245.5
2025-09-24T17:30:00,232.6,4.89,31.7,97.9,243.7
2025-09-24T17:40:00,195.1,4.86,21.9,97.2,241.0
2025-09-24T17:50:00,166.1,4.82,31.5,96.5,237.7
2025-09-24T18:00:00,0.0,4.75,20.7,95.0,225.7
2025-09-24T18:10:00,0.0,4.7,26.6,93.9,222.9
2025-09-24T18:20:00,0.0,4.63,17.0,92.6,219.3
2025-09-24T18:30:00,0.0,4.56,22.6,91.2,225.5
2025-09-24T18:40:00,0.0,4.49,20.2,89.8,226.5
2025-09-24T18:50:00,0.0,4.43,21.7,88.6,229.5
2025-09-24T19:00:00,0.0,4.37,25.6,87.5,225.6
2025-09-24T19:10:00,0.0,4.3,16.9,85.9,216.6
2025-09-24T19:20:00,9.6,4.24,21.0,84.8,226.1
2025-09-24T19:30:00,2.2,4.18,7.9,83.5,227.6
2025-09-24T19:40:00,10.4,4.11,21.0,82.2,228.9
2025-09-24T19:50:00,0.0,4.06,13.8,81.2,230.1
2025-09-24T20:00:00,0.7,3.98,19.3,79.7,222.0
2025-09-24T20:10:00,0.0,3.92,14.1,78.3,212.0
2025-09-24T20:20:00,0.0,3.85,16.6,76.9,215.2
2025-09-24T20:30:00,8.7,3.78,15.9,75.6,224.0
2025-09-24T20:40:00,0.0,3.71,13.5,74.2,232.5
2025-09-24T20:50:00,13.2,3.64,16.4,72.8,221.3
2025-09-24T21:00:00,1.6,3.58,17.8,71.5,220.4
2025-09-24T21:10:00,0.3,3.51,18.6,70.2,224.8
2025-09-24T21:20:00,0.0,3.43,5.9,68.7,217.4
2025-09-24T21:30:00,8.6,3.37,7.2,67.4,217.1
2025-09-24T21:40:00,0.0,3.31,9.1,66.1,221.3
2025-09-24T21:50:00,8.1,3.24,12.0,64.7,228.3
